"athlete","time","lap_nr","ind"
"df_time_ganna",15.422,197,133
"df_time_ganna",15.451,198,134
"df_time_ganna",15.594,199,135
"df_time_ganna",15.623999999999999,200,136
"df_time_ganna",15.66,201,137
"df_time_ganna",15.705,202,138
"df_time_ganna",15.792,203,139
"df_time_ganna",15.57,204,140
"df_time_ganna",15.642,205,141
"df_time_ganna",15.75,206,142
"df_time_ganna",15.697999999999999,207,143
"df_time_ganna",15.629999999999999,208,144
"df_time_ganna",15.619,209,145
"df_time_ganna",15.706999999999999,210,146
"df_time_ganna",15.715,211,147
"df_time_ganna",15.658,212,148
"df_time_ganna",15.874,213,149
"df_time_ganna",15.725,214,150
"df_time_ganna",15.713999999999999,215,151
"df_time_ganna",15.802000000000001,216,152
"df_time_ganna",15.779,217,153
"df_time_ganna",15.901,218,154
"df_time_ganna",15.792,219,155
"df_time_ganna",15.567,220,156
"df_time_ganna",15.720999999999998,221,157
"df_time_ganna",15.767,222,158
"df_time_ganna",15.824,223,159
"df_time_ganna",15.629999999999999,224,160
"df_time_ganna",15.695,225,161
"df_time_ganna",15.527999999999999,226,162
"df_time_ganna",15.9,227,163
"df_time_ganna",23.529,1,164
"df_time_ganna",16.799,2,165
"df_time_ganna",16.587999999999997,3,166
"df_time_ganna",16.381999999999998,4,167
"df_time_ganna",16.539,5,168
"df_time_ganna",16.59,6,169
"df_time_ganna",16.509,7,170
"df_time_ganna",16.32,NA,171
"df_time_ganna",16.284999999999997,9,172
"df_time_ganna",16.318,10,173
"df_time_ganna",16.371000000000002,11,174
"df_time_ganna",16.482999999999997,12,175
"df_time_ganna",16.423,13,176
"df_time_ganna",16.252,14,177
"df_time_ganna",16.311000000000003,15,178
"df_time_ganna",16.371000000000002,16,179
"df_time_ganna",16.481999999999996,17,180
"df_time_ganna",16.394000000000002,18,181
"df_time_ganna",16.179000000000002,19,182
"df_time_ganna",16.128,20,183
"df_time_ganna",16.239,21,184
"df_time_ganna",16.348,22,185
"df_time_ganna",16.348,23,186
"df_time_ganna",16.243,24,187
"df_time_ganna",16.276,25,188
"df_time_ganna",16.279999999999998,26,189
"df_time_ganna",16.296,27,190
"df_time_ganna",16.294,28,191
"df_time_ganna",16.287999999999997,29,192
"df_time_ganna",16.337000000000003,30,193
"df_time_ganna",16.247999999999998,31,194
"df_time_ganna",16.274,32,195
"df_time_ganna",16.216,33,196
"df_time_ganna",16.22,34,197
"df_time_ganna",16.276,35,198
"df_time_ganna",16.216,36,199
"df_time_ganna",16.205,37,200
"df_time_ganna",16.179000000000002,38,201
"df_time_ganna",16.301000000000002,39,202
"df_time_ganna",16.285999999999998,40,203
"df_time_ganna",16.189,41,204
"df_time_ganna",16.159000000000002,42,205
